X,Y,DiffractionLoss,FoliageLoss,Distance,BaseEffAntHeight,BreakPointDistance,V,ReferencePathloss,RayExists,RayTotalLength,NumberOfReflection,NumberOfDiffraction,WorstKnifeEdgeDistance,WorstKnifeEdgeClearHeight,isConsistent,nearPathloss,DistanceKm,DistanceKmAlongRadial,clutterValue,pointIndex,isLoS,survey
920289.4375,3950446,0,0,1.615353,531.2695,1.293901,-16.69984,105.275,1,1.615301,0,0,0,0,TRUE,93.44623,0.04124329,0.04095079,21,20,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920289.4375,3950444.75,0,0,1.615403,532.2239,1.295694,-16.61752,103.209,1,1.615301,0,0,0,0,TRUE,93.44723,0.04124804,0.040951,21,20,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920291.625,3950443.25,0,0,1.594198,522.7693,1.10413,-15.33134,102.924,1,1.615301,0,0,0,0,TRUE,93.02312,0.0392824,0.03890327,21,19,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920291.75,3950442,0,0,1.594485,521.7867,1.025931,-14.87908,101.717,1,1.615301,0,0,0,0,TRUE,93.02885,0.03930834,0.03890272,21,19,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920291.9375,3950440.5,0,0,1.594783,520.8815,0.9452363,-14.44125,115.896,1,1.615301,0,0,0,0,TRUE,93.03482,0.03933534,0.03890168,21,19,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920292.1875,3950439,0,0,1.594887,520.9305,0.9125883,-14.27207,109.701,1,1.615301,0,0,0,0,TRUE,93.03691,0.0393448,0.03890002,21,19,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920294.1875,3950439.5,0,0,1.571963,518.5235,0.8837743,-13.96356,112.387,1,1.615301,0,0,0,0,TRUE,92.57842,0.03732185,0.03685266,21,18,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920278.1875,3950436,0,0,1.726167,558.6853,1.347847,-14.60437,111.477,1,1.615301,0,0,0,0,TRUE,95.6625,0.05323128,0.05323128,21,26,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920280.25,3950436.25,0,0,1.709132,551.9459,1.371508,-15.53281,114.625,1,1.615301,0,0,0,0,TRUE,95.3218,0.05118373,0.05118373,21,25,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920282.25,3950436.5,0,0,1.693839,544.2603,1.262094,-15.36345,112.144,1,1.615301,0,0,0,0,TRUE,95.01593,0.0494127,0.04913614,21,24,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920282.3125,3950436.5,0,0,1.693845,544.081,1.260049,-15.35404,110.204,1,1.615301,0,0,0,0,TRUE,95.01606,0.04941341,0.04913605,21,24,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920284.25,3950437,0,0,1.675747,538.5974,1.189695,-15.14029,108.362,1,1.615301,0,0,0,0,TRUE,94.6541,0.04739656,0.04708907,23,23,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920286.1875,3950437.75,0,0,1.65681,533.3923,1.151782,-15.15335,115.733,1,1.615301,0,0,0,0,TRUE,94.27537,0.04537434,0.04504201,21,22,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920286.1875,3950437.75,0,0,1.656823,533.2792,1.146727,-15.11022,111.423,1,1.615301,0,0,0,0,TRUE,94.27562,0.04537566,0.04504192,21,22,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920288.25,3950438,0,0,1.637193,527.7957,1.047826,-14.57722,113.989,1,1.615301,0,0,0,0,TRUE,93.88302,0.04337034,0.04299431,21,21,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920288.3125,3950437.75,0,0,1.637211,527.6975,1.040529,-14.51176,110.384,1,1.615301,0,0,0,0,TRUE,93.88338,0.04337216,0.04299409,21,21,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920290.3125,3950438,0,0,1.616678,523.6393,0.9356594,-14.06179,110.242,1,1.615301,0,0,0,0,TRUE,93.47272,0.04136929,0.04094651,21,20,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920292.3125,3950438.5,0,0,1.594879,521.0339,0.9110672,-14.27222,112.157,1,1.615301,0,0,0,0,TRUE,93.03673,0.039344,0.03889921,21,19,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920292.4375,3950438,0,0,1.594873,521.0862,0.9101216,-14.27231,114.167,1,1.615301,0,0,0,0,TRUE,93.03662,0.03934349,0.0388987,21,19,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920292.75,3950436.75,0,0,1.594849,520.9716,0.9062824,-14.2727,113.427,1,1.615301,0,0,0,0,TRUE,93.03615,0.03934138,0.03889656,21,19,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920260,3950433,0,0,1.855265,607.3243,1.495235,-11.40515,119.342,1,1.855932,0,0,0,0,TRUE,98.24447,0.07165813,0.07165813,21,35,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920262.0625,3950433.25,0,0,1.842676,602.3986,1.554928,-13.00335,119.409,1,1.855932,0,0,0,0,TRUE,97.99268,0.06961066,0.06961066,21,34,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920264.0625,3950433.5,0,0,1.829709,596.7806,1.618836,-13.27122,117.859,1,1.855932,0,0,0,0,TRUE,97.73335,0.06756308,0.06756308,21,33,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920264.125,3950433.25,0,0,1.829708,596.9404,1.61844,-13.2852,114.334,1,1.855932,0,0,0,0,TRUE,97.73333,0.06756291,0.06756291,21,33,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
920266.1875,3950433.5,0,0,1.816343,590.5197,1.588776,-13.11847,121.748,1,1.855932,0,0,0,0,TRUE,97.46602,0.06551531,0.06551531,21,32,TRUE,RAA1323000038_2_PCI 179__1m_Ave_Filter_Road_Open
